"取引No","取引日","借方勘定科目","借方補助科目","借方部門","借方取引先","借方税区分","借方インボイス","借方金額(円)","貸方勘定科目","貸方補助科目","貸方部門","貸方取引先","貸方税区分","貸方インボイス","貸方金額(円)","摘要","タグ","メモ"
"366","2025/10/31","売掛金","西村あさひ法律事務所","","","対象外","","1368576","売上高","","","","課税売上 10%","","1368576","No.198 西村あさひ法律事務所・外国法共同事業・人事評価システム機能改善","",""
"367","2025/10/31","売掛金","西村あさひ法律事務所","","","対象外","","211200","売上高","","","","課税売上 10%","","211200","No.199 西村あさひ法律事務所・外国法共同事業・人事評価システム保守費用","",""
"368","2025/10/31","売掛金","その他(済)","","","対象外","","225720","売上高","","","","課税売上 10%","","225720","No.200 ふれあい共同作業所くちわ・Rakuco年額利用料金","",""
"369","2025/10/31","売掛金","その他(済)","","","対象外","","225720","売上高","","","","課税売上 10%","","225720","No.201 株式会社ビジネスパートナーズ　あさひ・Rakuco年額利用料金","",""
"370","2025/10/31","売掛金","その他","","","対象外","","19800","売上高","","","","課税売上 10%","","19800","No.202 就労支援事業所テオトル・Rakuco月額利用料金","",""
"371","2025/10/31","売掛金","㈱root64","","","対象外","","64468","売上高","","","","課税売上 10%","","64468","No.204 株式会社root64・PCリース費用","",""
"391","2025/10/31","役員報酬","","","","対象外仕入","","760000","","","","","","","","役員報酬　2名","",""
"391","2025/10/31","給料賃金","","","","対象外仕入","","1098513","","","","","","","","給与手当　9名","",""
"391","2025/10/31","","","","","","","","法定福利費","","","","対象外","","182994","社会保険料","",""
"391","2025/10/31","","","","","","","","預り金","源泉所得税","","","対象外","","65770","源泉所得税","",""
"391","2025/10/31","","","","","","","","預り金","住民税","","","対象外","","110800","住民税","",""
"391","2025/10/31","","","","","","","","雑収入","社宅","","","非課税売上","","25500","社宅家賃
","",""
"391","2025/10/31","","","","","","","","未払費用","役員報酬","","","対象外","","487319","役員報酬","",""
"391","2025/10/31","","","","","","","","未払費用","給与","","","対象外","","986130","給与手当","",""
"393","2025/10/31","売掛金","ストライプジャパン","","","対象外","","1353323","売上高","","","","課税売上 10%","","1353323","ストライプジャパン㈱　※仮","資料不足",""
"394","2025/10/31","外注費（原価）","","","","課税仕入 10%","","224116","買掛金","PENTOLA/ﾖｼｵｶﾕｳ","","","対象外","","224116","PENTOLA　※仮","資料不足",""
"396","2025/10/31","外注費（原価）","","","","課税仕入 10%","","655600","買掛金","Curip㈱","","","対象外","","655600","Curip㈱　※仮","資料不足",""
"397","2025/10/31","外注費（原価）","","","","課税仕入 10%","","94280","買掛金","浅香太平","","","対象外","","94280","浅香太平　※仮","資料不足",""
"398","2025/10/31","外注費（原価）","","","","課税仕入 10%","","259255","買掛金","石塚昌平","","","対象外","","259255","石塚昌平　※仮","資料不足",""
"399","2025/10/31","外注費（原価）","","","","課税仕入 10%","","259255","買掛金","出口衛","","","対象外","","259255","出口衛　※仮","資料不足",""
"400","2025/10/31","外注費（原価）","","","","課税仕入 10%","","151710","買掛金","上野慶太","","","対象外","","151710","上野慶太　※仮","資料不足",""
"401","2025/10/31","外注費（原価）","","","","課税仕入 10%","","137918","買掛金","玉利泰人","","","対象外","","137918","玉利泰人　※仮","資料不足",""
"402","2025/10/31","外注費（原価）","","","","課税仕入 10%","","53874","買掛金","早坂美里","","","対象外","","53874","早坂美里　※仮","資料不足",""
"404","2025/10/31","外注費（原価）","","","","課税仕入 10%","","147257","買掛金","㈱root64","","","対象外","","147257","㈱root64 ※仮","資料不足",""
"405","2025/10/31","外注費（原価）","","","","課税仕入 10%","","119748","買掛金","布間脩一郎","","","対象外","","119748","布間脩一郎　※仮","資料不足",""
"406","2025/10/31","外注費（原価）","","","","課税仕入 10%","","86199","買掛金","宮崎滉己","","","対象外","","86199","宮崎　滉己　※仮","資料不足",""
"407","2025/10/31","広告宣伝費","","","","課税仕入 10%","","66000","未払金","その他","","","対象外","","66000","㈱PR TIMES　※仮","資料不足",""
"408","2025/10/31","法定福利費","","","","対象外","","362382","未払費用","社会保険料","","","対象外","","362382","社会保険料　","",""
"434","2025/10/31","外注費（原価）","","","","課税仕入 10%","","154000","買掛金","その他（未）","","","対象外","","154000","髙木利寛　※仮","資料不足",""
"435","2025/10/31","外注費（原価）","","","","課税仕入 10%","","110000","買掛金","その他（未）","","","対象外","","110000","㈱はなえみ　※仮","資料不足",""
"454","2025/10/31","外注費（原価）","","","","課税仕入 10%","","600000","買掛金","その他（未）","","","対象外","","600000","九鬼崇典　※仮","資料不足",""
"311","2025/11/01","通信費","","","","課税仕入 10%","","1089","未払金","AMEXカード","","","対象外","","1089","AMAZON WEB SERVICES","",""
"312","2025/11/01","通信費","","","","課税仕入 10%","","8335","未払金","AMEXカード","","","対象外","","8335","GOOGLE*CLOUD 39JGDK GOOGLE CLOUD JA","",""
"313","2025/11/01","通信費","","","","課税仕入 10%","","59794","未払金","AMEXカード","","","対象外","","59794","GOOGLE*CLOUD HW2GK5 GOOGLE CLOUD JA","",""
"314","2025/11/01","通信費","","","","課税仕入 10%","","1","未払金","AMEXカード","","","対象外","","1","GOOGLE*CLOUD HZZDZ3 GOOGLE CLOUD JA","",""
"315","2025/11/01","通信費","","","","課税仕入 10%","","9","未払金","AMEXカード","","","対象外","","9","GOOGLE*CLOUD WT7TMX GOOGLE CLOUD JA","",""
"316","2025/11/01","通信費","","","","課税仕入 10%","","41168","未払金","AMEXカード","","","対象外","","41168","GOOGLE*CLOUD XBKGV8 GOOGLE CLOUD JA","",""
"317","2025/11/01","通信費","","","","課税仕入 10%","","6270","未払金","AMEXカード","","","対象外","","6270","GOOGLE*GSUITE HANAEMI.CO.JP GOOGLE CLO","",""
"318","2025/11/01","通信費","","","","課税仕入 10%","","12989","未払金","AMEXカード","","","対象外","","12989","GOOGLE*GSUITE SOCT.JP GOOGLE CLOUD JA","",""
"319","2025/11/01","通信費","","","","課税仕入 10%","","6250","未払金","AMEXカード","","","対象外","","6250","QANGAROO.JP","",""
"320","2025/11/01","通信費","","","","課税仕入 10%","","16473","未払金","AMEXカード","","","対象外","","16473","SHOPIFY* 439148250","",""
"321","2025/11/01","通信費","","","","課税仕入 10%","","2090","未払金","AMEXカード","","","対象外","","2090","WIX.COM","",""
"322","2025/11/01","備品・消耗品費","","","","課税仕入 10%","","21737","未払金","AMEXカード","","","対象外","","21737","アマゾン シーオージェーピー","",""
"665","2025/11/01","通信費","","","","課税仕入 10%","","4692","未払金","AMEXカード","","","対象外","","4692","GMOとくとくBB 東京都 渋谷区","",""
"666","2025/11/01","通信費","","","","課税仕入 10%","","308","未払金","AMEXカード","","","対象外","","308","COOKPAD* OCT","",""
"323","2025/11/02","通信費","","","","課税仕入 10%","","3280","未払金","AMEXカード","","","対象外","","3280","AMAZON WEB SERVICES","",""
"324","2025/11/02","通信費","","","","課税仕入 10%","","14066","未払金","AMEXカード","","","対象外","","14066","FIGMA","",""
"325","2025/11/02","通信費","","","","課税仕入 10%","","703","未払金","AMEXカード","","","対象外","","703","GITHUB, INC.","",""
"326","2025/11/02","広告宣伝費","","","","課税仕入 10%","","66000","未払金","AMEXカード","","","対象外","","66000","INDEED JAPAN KK","",""
"327","2025/11/03","通信費","","","","課税仕入 10%","","1450","未払金","AMEXカード","","","対象外","","1450","GOOGLE *GOOGLE ONE","",""
"328","2025/11/04","通信費","","","","課税仕入 10%","","3960","未払金","AMEXカード","","","対象外","","3960","BOOKRUN","",""
"329","2025/11/04","通信費","","","","課税仕入 10%","","825","未払金","AMEXカード","","","対象外","","825","EEASY 東京都 千代田区","",""
"142","2025/11/05","長期借入金","西京信用金庫③　＠117,000","","","対象外","","117000","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","119435","証書貸付","",""
"142","2025/11/05","支払利息","西京信用金庫③","","","対象外","","2435","","","","","","","","証書貸付","",""
"143","2025/11/05","長期借入金","西京信用金庫⑤　＠298,000","","","対象外","","298000","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","330278","証書貸付","",""
"143","2025/11/05","支払利息","西京信用金庫⑤","","","対象外","","32278","","","","","","","","証書貸付","",""
"164","2025/11/05","長期借入金","公庫/＠64,000円","","","対象外","","64000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","68065","出金 セイサクコウコ(コク)","",""
"164","2025/11/05","支払利息","公庫/＠64,000円","","","対象外","","4065","","","","","","","","出金 セイサクコウコ(コク)","",""
"165","2025/11/05","長期借入金","公庫/＠250,000円","","","対象外","","250000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","288580","出金 セイサクコウコ(コク)","",""
"165","2025/11/05","支払利息","公庫/＠250,000円","","","対象外","","38580","","","","","","","","出金 セイサクコウコ(コク)","",""
"330","2025/11/05","備品・消耗品費","","","","課税仕入 10%","","21737","未払金","AMEXカード","","","対象外","","21737","アマゾン シーオージェーピー","",""
"331","2025/11/05","通信費","","","","課税仕入 10%","","9108","未払金","AMEXカード","","","対象外","","9108","マネ-フォワ-ドクラウド 東京都 港区","",""
"332","2025/11/05","諸会費","","","","課税仕入 10%","","600","未払金","AMEXカード","","","対象外","","600","AMAZON プライム会費","",""
"333","2025/11/05","通信費","","","","課税仕入 10%","","3300","未払金","AMEXカード","","","対象外","","3300","EBOOK5 北海道 札幌市中央区","",""
"334","2025/11/06","通信費","","","","課税仕入 10%","","1799","未払金","AMEXカード","","","対象外","","1799","EVERNOTE","",""
"335","2025/11/06","通信費","","","","課税仕入 10%","","10472","未払金","AMEXカード","","","対象外","","10472","SQSP* DOMAIN#208334004","",""
"336","2025/11/06","通信費","","","","課税仕入 10%","","19140","未払金","AMEXカード","","","対象外","","19140","SQSP* DOMAIN#208339384","",""
"337","2025/11/06","通信費","","","","課税仕入 10%","","5460","未払金","AMEXカード","","","対象外","","5460","STUDIO INC.","",""
"144","2025/11/07","長期借入金","西京信用金庫①　＠27,000","","","対象外","","27000","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","30178","証書貸付","",""
"144","2025/11/07","支払利息","西京信用金庫①","","","対象外","","3178","","","","","","","","証書貸付","",""
"338","2025/11/07","通信費","","","","課税仕入 10%","","4205","未払金","AMEXカード","","","対象外","","4205","NOTION LABS, INC.","",""
"339","2025/11/07","備品・消耗品費","","","","課税仕入 10%","","3673","未払金","AMEXカード","","","対象外","","3673","アマゾン シーオージェーピー","",""
"355","2025/11/07","預り金","報酬源泉","","","対象外","","255378","未払金","AMEXカード","","","対象外","","255378","源泉所得税及復興特別所得税","",""
"340","2025/11/08","通信費","","","","課税仕入 10%","","1760","未払金","AMEXカード","","","対象外","","1760","SQSP* DOMAIN#208608211","",""
"341","2025/11/09","通信費","","","","課税仕入 10%","","2719","未払金","AMEXカード","","","対象外","","2719","MICROSOFT JAPAN CO., LTD.","",""
"166","2025/11/10","支払報酬","","","","課税仕入 10%","","55000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","55000","出金 NSS.ホウリツコモンリヨウ","",""
"167","2025/11/10","支払報酬","","","","課税仕入 10%","","55000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","55000","出金 NSS.シヤロウシ","",""
"168","2025/11/10","支払報酬","","","","課税仕入 10%","","60500","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","60500","出金 NSSゼイムコモンリヨウホカ","",""
"169","2025/11/10","未払金","AMEXカード","","","対象外","","993148","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","993148","出金 アメツクス","",""
"170","2025/11/10","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","1353323","売掛金","ストライプジャパン","","","対象外","","1353323","振込入金 RAKUCO ストライプジヤパン(カ","",""
"342","2025/11/10","通信費","","","","課税仕入 10%","","66000","未払金","AMEXカード","","","対象外","","66000","WANTEDLY, INC.","",""
"343","2025/11/10","備品・消耗品費","","","","課税仕入 10%","","3673","未払金","AMEXカード","","","対象外","","3673","アマゾン シーオージェーピー","",""
"344","2025/11/10","旅費交通費","","","","課税仕入 10%","","6890","未払金","AMEXカード","","","対象外","","6890","JR東日本 えきねっと 東京都 渋谷区","",""
"345","2025/11/10","旅費交通費","","","","課税仕入 10%","","6890","未払金","AMEXカード","","","対象外","","6890","JR東日本 えきねっと 東京都 渋谷区","",""
"667","2025/11/10","通信費","","","","課税仕入 10%","","3850","未払金","AMEXカード","","","対象外","","3850","イプシロン 東京都 渋谷区","",""
"668","2025/11/10","通信費","","","","課税仕入 10%","","220","未払金","AMEXカード","","","対象外","","220","T-CONNECT/G-LINK利用料","",""
"346","2025/11/11","通信費","","","","課税仕入 10%","","11943","未払金","AMEXカード","","","対象外","","11943","GITHUB, INC.","",""
"347","2025/11/11","通信費","","","","課税仕入 10%","","9580","未払金","AMEXカード","","","対象外","","9580","LUCIDCHART.COM/CHARGE","",""
"669","2025/11/11","未払金","AMEXカード","","","対象外","","6890","雑収入","","","","対象外","","6890","お支払/調整分 SAFEKEYポイント充当分","",""
"670","2025/11/11","未払金","AMEXカード","","","対象外","","4629","雑収入","","","","対象外","","4629","お支払/調整分 SAFEKEYポイント充当分","",""
"171","2025/11/12","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","19800","売掛金","株式会社SUN","","","対象外","","19800","振込入金 カ)サン","",""
"172","2025/11/12","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","1461504","売掛金","InnoJin㈱","","","対象外","","1461504","振込入金 イノジン カブシキカイシヤ","",""
"348","2025/11/12","通信費","","","","課税仕入 10%","","20299","未払金","AMEXカード","","","対象外","","20299","NOTION LABS, INC.","",""
"349","2025/11/12","通信費","","","","課税仕入 10%","","3516","未払金","AMEXカード","","","対象外","","3516","OPENAI *CHATGPT SUBSCR","",""
"350","2025/11/12","通信費","","","","課税仕入 10%","","918","未払金","AMEXカード","","","対象外","","918","X CORP. PAID FEATURES","",""
"671","2025/11/12","旅費交通費","","","","課税仕入 10%","","7188","未払金","AMEXカード","","","対象外","","7188","ENEOS","",""
"173","2025/11/13","支払手数料","","","","課税仕入 10%","","9350","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","9350","出金 RKS(ナレツジソサエテイ","",""
"672","2025/11/13","通信費","","","","課税仕入 10%","","1892","未払金","AMEXカード","","","対象外","","1892","ATLASSIAN","",""
"673","2025/11/13","通信費","","","","課税仕入 10%","","5649","未払金","AMEXカード","","","対象外","","5649","GITHUB, INC.","",""
"174","2025/11/14","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","39600","売掛金","ひょうご障害者福祉協同組合","","","対象外","","39600","振込入金 ヒヨウゴシヨウガイシヤフクシキヨウドウクミアイ","",""
"674","2025/11/14","通信費","","","","課税仕入 10%","","5940","未払金","AMEXカード","","","対象外","","5940","DROPBOX*NKV8N12Q46SS","",""
"675","2025/11/14","通信費","","","","課税仕入 10%","","7451","未払金","AMEXカード","","","対象外","","7451","ZOOM.COM 888-799-9666","",""
"676","2025/11/15","通信費","","","","課税仕入 10%","","4300","未払金","AMEXカード","","","対象外","","4300","GOOGLE *NIKKEIDENSHIBA","",""
"677","2025/11/15","通信費","","","","課税仕入 10%","","50000","未払金","AMEXカード","","","対象外","","50000","GOOGLE*CLOUD X4TBV4 GOOGLE CLOUD JA","",""
"678","2025/11/16","通信費","","","","課税仕入 10%","","924","未払金","AMEXカード","","","対象外","","924","CHATWORK BUSINESS PLAN","",""
"679","2025/11/16","備品・消耗品費","","","","課税仕入 10%","","3673","未払金","AMEXカード","","","対象外","","3673","アマゾン シーオージェーピー","",""
"145","2025/11/17","支払手数料","","","","課税仕入 10%","","1100","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","1100","手数料 FB基本料","",""
"175","2025/11/17","支払手数料","","","","課税仕入 10%","","3300","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","3300","出金 WEB テスウリヨウ","",""
"176","2025/11/17","長期未払金","カローラクロスZ","","","対象外","","53100","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","53100","出金 トヨタフアイナンス (カブ)","",""
"177","2025/11/17","長期未払金","レクサス　NX350ｈ","","","対象外","","84600","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","84600","出金 TF)レクサス","",""
"178","2025/11/17","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","225720","売掛金","その他(済)","","","対象外","","225720","振込入金 フレアイキヨウドウサギヨウシヨクチワ","",""
"680","2025/11/17","通信費","","","","課税仕入 10%","","3187","未払金","AMEXカード","","","対象外","","3187","HITEM3D.AI PRODUCT","",""
"681","2025/11/17","通信費","","","","課税仕入 10%","","41655","未払金","AMEXカード","","","対象外","","41655","SLACK T5W48MM55","",""
"682","2025/11/18","通信費","","","","課税仕入 10%","","4268","未払金","AMEXカード","","","対象外","","4268","FORMRUN BEGINNER","",""
"146","2025/11/19","法定福利費","","","","対象外","","85604","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","85604","PEロウドウホケンリヨ","",""
"147","2025/11/19","法定福利費","","","","対象外","","104","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","104","PEロウドウホケンリヨ","",""
"179","2025/11/20","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","225720","売掛金","その他(済)","","","対象外","","225720","振込入金 カ)ビジネスパ-トナ-ズ","",""
"683","2025/11/20","旅費交通費","","","","課税仕入 10%","","2890","未払金","AMEXカード","","","対象外","","2890","ETC 東日本高速道路 関東支社","",""
"684","2025/11/20","旅費交通費","","","","課税仕入 10%","","1300","未払金","AMEXカード","","","対象外","","1300","ETC 首都高速道路","",""
"685","2025/11/21","通信費","","","","課税仕入 10%","","4500","未払金","AMEXカード","","","対象外","","4500","CANVA","",""
"686","2025/11/21","通信費","","","","課税仕入 10%","","4492","未払金","AMEXカード","","","対象外","","4492","GENSPARK.AI","",""
"687","2025/11/21","仮払金","","","","対象外","","32334","未払金","AMEXカード","","","対象外","","32334","LEARNDASH.COM","",""
"688","2025/11/21","通信費","","","","課税仕入 10%","","1232","未払金","AMEXカード","","","対象外","","1232","SQSP* DOMAIN#210337290","",""
"689","2025/11/21","仮払金","","","","対象外","","16085","未払金","AMEXカード","","","対象外","","16085","LEARNDASH.COM","",""
"690","2025/11/22","会議費","","","","課税仕入 10%","","11880","未払金","AMEXカード","","","対象外","","11880","CONOHA 東京都 渋谷区","",""
"691","2025/11/23","会議費","","","","課税仕入 10%","","38420","未払金","AMEXカード","","","対象外","","38420","グランドプリンスホテル 新高輪 -東京　4名","",""
"148","2025/11/25","未払費用","給与","","","対象外","","166298","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","166298","総合振込 ニシザワチナツ","",""
"149","2025/11/25","支払手数料","","","","課税仕入 10%","","330","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","330","手数料 FB振込料","",""
"150","2025/11/25","未払費用","給与","","","対象外","","24500","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","24500","総合振込 マツモトヒサコ","",""
"151","2025/11/25","支払手数料","","","","課税仕入 10%","","165","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","165","手数料 FB振込料","",""
"152","2025/11/25","未払費用","給与","","","対象外","","192381","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","192381","総合振込 イシマルカナ","",""
"153","2025/11/25","支払手数料","","","","課税仕入 10%","","330","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","330","手数料 FB振込料","",""
"154","2025/11/25","未払費用","給与","","","対象外","","48750","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","48750","総合振込 カギタニリエ","",""
"155","2025/11/25","支払手数料","","","","課税仕入 10%","","165","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","165","手数料 FB振込料","",""
"156","2025/11/25","未払費用","給与","","","対象外","","28500","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","28500","総合振込 ヒダカミカ","",""
"157","2025/11/25","支払手数料","","","","課税仕入 10%","","165","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","165","手数料 FB振込料","",""
"158","2025/11/25","未払費用","給与","","","対象外","","105720","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","105720","総合振込 ウエマツアツコ","",""
"159","2025/11/25","支払手数料","","","","課税仕入 10%","","330","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","330","手数料 FB振込料","",""
"160","2025/11/25","未払費用","給与","","","対象外","","67875","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","67875","総合振込 ノジマユウイ","",""
"161","2025/11/25","支払手数料","","","","課税仕入 10%","","330","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","330","手数料 FB振込料","",""
"180","2025/11/25","未払費用","給与","","","対象外","","269606","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","269606","出金 ヤマダ コウガ","",""
"181","2025/11/25","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"182","2025/11/25","未払費用","役員報酬","","","対象外","","6874","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","6874","出金 シノハラ ミカ","",""
"183","2025/11/25","支払手数料","","","","課税仕入 10%","","490","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","490","出金 フリコミテスウリヨウ","",""
"184","2025/11/25","未払費用","役員報酬","","","対象外","","480445","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","480445","出金 シノハラ リヨウ","",""
"185","2025/11/25","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"186","2025/11/25","未払費用","給与","","","対象外","","82500","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","82500","出金 ヤツキ カナ","",""
"187","2025/11/25","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"188","2025/11/25","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","1658399","売掛金","その他(済)","","","対象外","","1658399","振込入金 トウカイキコウナゴヤダイガク","",""
"692","2025/11/26","通信費","","","","課税仕入 10%","","1507","未払金","AMEXカード","","","対象外","","1507","ATLASSIAN","",""
"697","2025/11/26","通信費","","","","課税仕入 10%","","4826","未払金","AMEXカード","","","対象外","","4826","ZAPIER.COM/CHARGE","",""
"700","2025/11/26","旅費交通費","","","","課税仕入 10%","","2890","未払金","AMEXカード","","","対象外","","2890","ETC 東日本高速道路 関東支社","",""
"701","2025/11/26","旅費交通費","","","","課税仕入 10%","","950","未払金","AMEXカード","","","対象外","","950","ETC特別割引 首都高速道路","",""
"189","2025/11/27","地代家賃","社宅/ヴィラーチ","","","対象外","","137000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","138100","出金 NS チンリヨウ","",""
"189","2025/11/27","支払手数料","","","","課税仕入 10%","","220","","","","","","","","出金 NS チンリヨウ","",""
"189","2025/11/27","支払手数料","","","","課税仕入 10%","","880","","","","","","","","出金 NS チンリヨウ","",""
"190","2025/11/27","買掛金","その他（未）","","","対象外","","110000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","110000","出金 カ)ハナエミ","",""
"191","2025/11/27","支払手数料","","","","課税仕入 10%","","440","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","440","出金 フリコミテスウリヨウ","",""
"192","2025/11/27","買掛金","Curip㈱","","","対象外","","3000000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","3000000","出金 クリツプ(カ","",""
"193","2025/11/27","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"194","2025/11/27","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","19800","売掛金","その他(済)","","","対象外","","19800","振込入金 トクヒ)コノハコノハノイエ","",""
"704","2025/11/27","備品・消耗品費","","","","課税仕入 10%","","3673","未払金","AMEXカード","","","対象外","","3673","アマゾン シーオージェーピー","",""
"705","2025/11/27","備品・消耗品費","","","","課税仕入 10%","","16980","未払金","AMEXカード","","","対象外","","16980","アマゾン シーオージェーピー","",""
"195","2025/11/28","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","1579776","売掛金","西村あさひ法律事務所","","","対象外","","1579776","振込入金 ニシムラアサヒホウリツジムシヨ.ガイコクホウキヨウドウジギヨウ","",""
"196","2025/11/28","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","69281","売掛金","㈱ショクリュー","","","対象外","","69281","振込入金 カ)シヨクリユ-","",""
"197","2025/11/28","買掛金","浅香太平","","","対象外","","94280","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","94280","出金 アサカ タイヘイ","",""
"198","2025/11/28","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"199","2025/11/28","買掛金","PENTOLA/ﾖｼｵｶﾕｳ","","","対象外","","224116","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","224116","出金 ヨシオカ ユウ","",""
"200","2025/11/28","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"201","2025/11/28","買掛金","布間脩一郎","","","対象外","","119748","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","119748","出金 フマ ユウイチロウ","",""
"202","2025/11/28","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"203","2025/11/28","買掛金","早坂美里","","","対象外","","53874","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","53874","出金 ハヤサカ ミサト","",""
"204","2025/11/28","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"205","2025/11/28","買掛金","出口衛","","","対象外","","259255","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","259255","出金 デグチ マモル","",""
"206","2025/11/28","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"207","2025/11/28","買掛金","石塚昌平","","","対象外","","259255","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","259255","出金 イシヅカ シヨウヘイ","",""
"208","2025/11/28","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
